Barcode	Set	CellType
Cell-135066	P11	C34
Cell-135067	P11	C53
Cell-135068	P11	C31
Cell-135070	P11	C8
Cell-135071	P11	C12
Cell-135079	P11	C54
Cell-135100	P11	C53
Cell-135102	P11	C1
Cell-135104	P11	C40
Cell-135106	P11	C18
Cell-135107	P11	C16
Cell-135108	P11	C1
Cell-135117	P11	C21
Cell-135119	P11	C41
Cell-135133	P11	C3
Cell-135139	P11	C8
Cell-135151	P11	C19
Cell-135154	P11	C8
Cell-135155	P11	C23
Cell-135156	P11	C34
Cell-135157	P11	C16
Cell-135165	P11	C8
Cell-135167	P11	C12
Cell-135170	P11	C43
Cell-135171	P11	C55
Cell-135173	P11	C4
Cell-135189	P11	C16
Cell-135190	P11	C53
Cell-135191	P11	C10
Cell-135194	P11	C32
Cell-135215	P11	C9
Cell-135220	P11	C21
Cell-135229	P11	C9
Cell-135232	P11	C21
Cell-135233	P11	C12
Cell-135235	P11	C18
Cell-135263	P11	C8
Cell-135283	P11	C3
Cell-135284	P11	C11
Cell-135285	P11	C55
Cell-135291	P11	C18
Cell-135303	P11	C12
Cell-135317	P11	C55
Cell-135322	P11	C12
Cell-135334	P11	C3
Cell-135338	P11	C24
Cell-135343	P11	C8
Cell-135344	P11	C12
Cell-135354	P11	C16
Cell-135356	P11	C8
Cell-135358	P11	C30
Cell-135359	P11	C20
Cell-135364	P11	C8
Cell-135373	P11	C8
Cell-135388	P11	C12
Cell-135389	P11	C14
Cell-135408	P11	C26
Cell-135409	P11	C8
Cell-135410	P11	C18
Cell-135412	P11	C9
Cell-135422	P11	C4
Cell-135435	P11	C8
Cell-135436	P11	C16
Cell-135439	P11	C16
Cell-135441	P11	C25
Cell-135454	P11	C21
Cell-135456	P11	C8
Cell-135457	P11	C31
Cell-135458	P11	C8
Cell-135459	P11	C8
Cell-135461	P11	C12
Cell-135462	P11	C17
Cell-135463	P11	C9
Cell-135496	P11	C41
Cell-135497	P11	C54
Cell-135498	P11	C53
Cell-135502	P11	C12
Cell-135503	P11	C12
Cell-135514	P11	C34
Cell-135532	P11	C18
Cell-135536	P11	C4
Cell-135552	P11	C12
Cell-135570	P11	C55
Cell-135572	P11	C54
Cell-135575	P11	C22
Cell-135578	P11	C9
Cell-135592	P11	C54
Cell-135595	P11	C13
Cell-135596	P11	C3
Cell-135603	P11	C11
Cell-135604	P11	C3
Cell-135605	P11	C8
Cell-135610	P11	C5
Cell-135630	P11	C54
Cell-135631	P11	C8
Cell-135632	P11	C3
Cell-135633	P11	C54
Cell-135637	P11	C14
Cell-135656	P11	C9
Cell-135657	P11	C18
Cell-135666	P11	C17
Cell-135678	P11	C12
Cell-135680	P11	C24
Cell-135682	P11	C8
Cell-135696	P11	C18
Cell-135705	P11	C14
Cell-135706	P11	C12
Cell-135709	P11	C12
Cell-135710	P11	C41
Cell-135711	P11	C38
Cell-135714	P11	C16
Cell-135715	P11	C16
Cell-135741	P11	C12
Cell-135744	P11	C31
Cell-135745	P11	C5
Cell-135757	P11	C4
Cell-135765	P11	C17
Cell-135766	P11	C8
Cell-135769	P11	C9
Cell-135786	P11	C41
Cell-135788	P11	C23
Cell-135792	P11	C47
Cell-135800	P11	C59
Cell-135801	P11	C30
Cell-135804	P11	C9
Cell-135823	P11	C26
Cell-135825	P11	C8
Cell-135827	P11	C20
Cell-135830	P11	C12
Cell-135831	P11	C1
Cell-135837	P11	C1
Cell-135839	P11	C12
Cell-135840	P11	C8
Cell-135842	P11	C13
Cell-135843	P11	C53
Cell-135850	P11	C28
Cell-135854	P11	C44
Cell-135871	P11	C30
Cell-135874	P11	C1
Cell-135900	P11	C42
Cell-135906	P11	C9
Cell-135908	P11	C1
Cell-135927	P11	C10
Cell-135930	P11	C24
Cell-135953	P11	C10
Cell-135954	P11	C54
Cell-135962	P11	C31
Cell-135979	P11	C8
Cell-135980	P11	C3
Cell-135981	P11	C16
Cell-135986	P11	C24
Cell-135988	P11	C1
Cell-135989	P11	C16
Cell-136002	P11	C8
Cell-136004	P11	C16
Cell-136006	P11	C4
Cell-136008	P11	C12
Cell-136010	P11	C25
Cell-136012	P11	C13
Cell-136013	P11	C8
Cell-136033	P11	C8
Cell-136034	P11	C18
Cell-136039	P11	C4
Cell-136050	P11	C16
Cell-136069	P11	C37
Cell-136070	P11	C11
Cell-136072	P11	C12
Cell-136077	P11	C13
Cell-136078	P11	C25
Cell-136081	P11	C34
Cell-136082	P11	C37
Cell-136083	P11	C21
Cell-136090	P11	C31
Cell-136093	P11	C53
Cell-136096	P11	C13
Cell-136101	P11	C30
Cell-136114	P11	C14
Cell-136115	P11	C14
Cell-136116	P11	C54
Cell-136117	P11	C11
Cell-136121	P11	C41
Cell-136136	P11	C32
Cell-136137	P11	C13
Cell-136138	P11	C21
Cell-136141	P11	C8
Cell-136143	P11	C8
Cell-136160	P11	C12
Cell-136161	P11	C3
Cell-136162	P11	C19
Cell-136163	P11	C9
Cell-136164	P11	C9
Cell-136165	P11	C12
Cell-136172	P11	C12
Cell-136189	P11	C11
Cell-136190	P11	C34
Cell-136192	P11	C1
Cell-136198	P11	C21
Cell-136208	P11	C37
Cell-136209	P11	C53
Cell-136213	P11	C11
Cell-136223	P11	C1
Cell-136225	P11	C54
Cell-136226	P11	C53
Cell-136227	P11	C37
Cell-136229	P11	C8
Cell-136230	P11	C53
Cell-136244	P11	C8
Cell-136248	P11	C27
Cell-136249	P11	C4
Cell-136259	P11	C3
Cell-136260	P11	C8
Cell-136273	P11	C8
Cell-136275	P11	C12
Cell-136277	P11	C8
Cell-136285	P11	C3
Cell-136288	P11	C9
Cell-136313	P11	C8
Cell-136314	P11	C14
Cell-136318	P11	C24
Cell-136339	P11	C41
Cell-136345	P11	C26
Cell-136346	P11	C3
Cell-136347	P11	C12
Cell-136362	P11	C12
Cell-136364	P11	C9
Cell-136377	P11	C27
Cell-136378	P11	C20
Cell-136380	P11	C1
Cell-136381	P11	C14
Cell-136391	P11	C24
Cell-136392	P11	C20
Cell-136394	P11	C12
Cell-136405	P11	C28
Cell-136407	P11	C38
Cell-136413	P11	C3
Cell-136414	P11	C4
Cell-136433	P11	C26
Cell-136434	P11	C4
Cell-136449	P11	C13
Cell-136450	P11	C16
Cell-136451	P11	C53
Cell-136453	P11	C41
Cell-136465	P11	C27
Cell-136466	P11	C52
Cell-136467	P11	C54
Cell-136472	P11	C14
Cell-136473	P11	C42
Cell-136481	P11	C1
Cell-136489	P11	C41
Cell-136490	P11	C9
Cell-136496	P11	C47
Cell-136498	P11	C12
Cell-136501	P11	C47
Cell-136502	P11	C53
Cell-136511	P11	C12
Cell-136515	P11	C3
Cell-136517	P11	C41
Cell-136519	P11	C1
Cell-136520	P11	C53
Cell-136529	P11	C44
Cell-136538	P11	C28
Cell-136543	P11	C23
Cell-136544	P11	C20
Cell-136554	P11	C4
Cell-136567	P11	C41
Cell-136579	P11	C8
Cell-136581	P11	C12
Cell-136586	P11	C8
Cell-136611	P11	C8
Cell-136612	P11	C1
Cell-136613	P11	C30
Cell-136617	P11	C53
Cell-136618	P11	C8
Cell-136620	P11	C53
Cell-136635	P11	C3
Cell-136636	P11	C30
Cell-136673	P11	C1
Cell-136674	P11	C16
Cell-136675	P11	C55
Cell-136678	P11	C3
Cell-136692	P11	C3
Cell-136693	P11	C31
Cell-136695	P11	C8
Cell-136696	P11	C3
Cell-136697	P11	C12
Cell-136699	P11	C40
Cell-136712	P11	C8
Cell-136720	P11	C12
Cell-136721	P11	C3
Cell-136723	P11	C8
Cell-136738	P11	C3
Cell-136740	P11	C12
Cell-136742	P11	C20
Cell-136745	P11	C41
Cell-136746	P11	C12
Cell-136749	P11	C29
Cell-136767	P11	C39
Cell-136768	P11	C9
Cell-136770	P11	C8
Cell-136771	P11	C3
Cell-136772	P11	C24
Cell-136775	P11	C16
Cell-136778	P11	C12
Cell-136787	P11	C9
Cell-136788	P11	C3
Cell-136798	P11	C10
Cell-136810	P11	C22
Cell-136811	P11	C9
Cell-136812	P11	C8
Cell-136814	P11	C27
Cell-136817	P11	C12
Cell-136825	P11	C30
Cell-136827	P11	C8
Cell-136828	P11	C16
Cell-136830	P11	C44
Cell-136841	P11	C19
Cell-136857	P11	C22
Cell-136866	P11	C35
Cell-136868	P11	C8
Cell-136869	P11	C31
Cell-136870	P11	C12
Cell-136871	P11	C40
Cell-136872	P11	C8
Cell-136873	P11	C41
Cell-136874	P11	C20
Cell-136883	P11	C11
Cell-136884	P11	C12
Cell-136888	P11	C24
Cell-136892	P11	C8
Cell-136909	P11	C23
Cell-136924	P11	C12
Cell-136929	P11	C29
Cell-136947	P11	C3
Cell-136949	P11	C17
Cell-136951	P11	C11
Cell-136960	P11	C4
Cell-136962	P11	C9
Cell-136971	P11	C11
Cell-136974	P11	C18
Cell-136977	P11	C1
Cell-136990	P11	C24
Cell-136991	P11	C4
Cell-136996	P11	C41
Cell-136999	P11	C9
Cell-137001	P11	C22
Cell-137018	P11	C8
Cell-137021	P11	C54
Cell-137023	P11	C24
Cell-137028	P11	C4
Cell-137048	P11	C18
Cell-137053	P11	C8
Cell-137056	P11	C54
Cell-137061	P11	C13
Cell-137062	P11	C54
Cell-137093	P11	C26
Cell-137096	P11	C8
Cell-137102	P11	C3
Cell-137104	P11	C3
Cell-137121	P11	C42
Cell-137122	P11	C31
Cell-137125	P11	C3
Cell-137127	P11	C3
Cell-137131	P11	C47
Cell-137149	P11	C35
Cell-137150	P11	C17
Cell-137152	P11	C1
Cell-137153	P11	C47
Cell-137156	P11	C26
Cell-137157	P11	C21
Cell-137158	P11	C22
Cell-137172	P11	C9
Cell-137173	P11	C25
Cell-137174	P11	C9
Cell-137176	P11	C8
Cell-137177	P11	C18
Cell-137184	P11	C11
Cell-137187	P11	C10
Cell-137205	P11	C3
Cell-137206	P11	C8
Cell-137216	P11	C26
Cell-137230	P11	C10
Cell-137231	P11	C41
Cell-137232	P11	C12
Cell-137233	P11	C12
Cell-137234	P11	C9
Cell-137235	P11	C12
Cell-137245	P11	C31
Cell-137254	P11	C42
Cell-137256	P11	C8
Cell-137258	P11	C12
Cell-137259	P11	C8
Cell-137277	P11	C35
Cell-137278	P11	C26
Cell-137286	P11	C11
Cell-137288	P11	C18
Cell-137295	P11	C12
Cell-137305	P11	C3
Cell-137306	P11	C53
Cell-137307	P11	C9
Cell-137309	P11	C21
Cell-137310	P11	C20
Cell-137326	P11	C8
Cell-137329	P11	C4
Cell-137330	P11	C16
Cell-137337	P11	C53
Cell-137340	P11	C8
Cell-137342	P11	C3
Cell-137345	P11	C8
Cell-137354	P11	C8
Cell-137357	P11	C12
Cell-137358	P11	C35
Cell-137369	P11	C8
Cell-137371	P11	C12
Cell-137372	P11	C40
Cell-137375	P11	C27
Cell-137379	P11	C22
Cell-137393	P11	C53
Cell-137397	P11	C22
Cell-137398	P11	C54
Cell-137402	P11	C23
Cell-137403	P11	C12
Cell-137414	P11	C37
Cell-137416	P11	C12
Cell-137419	P11	C53
Cell-137423	P11	C44
Cell-137446	P11	C8
Cell-137448	P11	C46
Cell-137450	P11	C10
Cell-137454	P11	C12
Cell-137464	P11	C26
Cell-137468	P11	C29
Cell-137470	P11	C24
Cell-137471	P11	C16
Cell-137482	P11	C16
Cell-137486	P11	C53
Cell-137487	P11	C10
Cell-137488	P11	C3
Cell-137504	P11	C41
Cell-137507	P11	C9
Cell-137508	P11	C29
Cell-137523	P11	C12
Cell-137524	P11	C36
Cell-137525	P11	C4
Cell-137526	P11	C11
Cell-137527	P11	C12
Cell-137542	P11	C8
Cell-137545	P11	C20
Cell-137546	P11	C3
Cell-137547	P11	C20
Cell-137548	P11	C10
Cell-137549	P11	C31
Cell-137551	P11	C54
Cell-137571	P11	C4
Cell-137572	P11	C8
Cell-137587	P11	C23
Cell-137589	P11	C32
Cell-137590	P11	C14
Cell-137605	P11	C3
Cell-137608	P11	C34
Cell-137609	P11	C26
Cell-137610	P11	C3
Cell-137611	P11	C11
Cell-137612	P11	C26
Cell-137613	P11	C56
Cell-137626	P11	C10
Cell-137632	P11	C26
Cell-137633	P11	C1
Cell-137642	P11	C3
Cell-137646	P11	C9
Cell-137656	P11	C32
Cell-137659	P11	C30
Cell-137661	P11	C12
Cell-137663	P11	C3
Cell-137679	P11	C16
Cell-137680	P11	C3
Cell-137697	P11	C4
Cell-137709	P11	C53
Cell-137710	P11	C16
Cell-137711	P11	C19
Cell-137712	P11	C8
Cell-137719	P11	C8
Cell-137720	P11	C22
Cell-137728	P11	C8
Cell-137730	P11	C26
Cell-137731	P11	C55
Cell-137746	P11	C27
Cell-137751	P11	C8
Cell-137754	P11	C13
Cell-137778	P11	C41
Cell-137779	P11	C10
Cell-137783	P11	C53
Cell-137800	P11	C21
Cell-137802	P11	C12
Cell-137818	P11	C41
Cell-137819	P11	C18
Cell-137831	P11	C8
Cell-137832	P11	C22
Cell-137833	P11	C22
Cell-137835	P11	C12
Cell-137836	P11	C8
Cell-137837	P11	C1
Cell-137846	P11	C54
Cell-137847	P11	C21
Cell-137848	P11	C8
Cell-137849	P11	C24
Cell-137854	P11	C3
Cell-137855	P11	C23
Cell-137856	P11	C16
Cell-137857	P11	C1
Cell-137858	P11	C18
Cell-137871	P11	C41
Cell-137875	P11	C41
Cell-137881	P11	C12
Cell-137882	P11	C9
Cell-137888	P11	C24
Cell-137890	P11	C20
Cell-137897	P11	C54
Cell-137933	P11	C1
Cell-137935	P11	C1
Cell-137950	P11	C3
Cell-137953	P11	C27
Cell-137954	P11	C1
Cell-137955	P11	C28
Cell-137956	P11	C8
Cell-137960	P11	C45
Cell-137976	P11	C12
Cell-137994	P11	C22
Cell-137995	P11	C22
Cell-137998	P11	C12
Cell-137999	P11	C37
Cell-138001	P11	C12
Cell-138014	P11	C12
Cell-138016	P11	C27
Cell-138029	P11	C13
Cell-138031	P11	C12
Cell-138034	P11	C1
Cell-138037	P11	C3
Cell-138049	P11	C12
Cell-138053	P11	C22
Cell-138068	P11	C3
Cell-138069	P11	C31
Cell-138071	P11	C12
Cell-138072	P11	C8
Cell-138074	P11	C16
Cell-138077	P11	C19
Cell-138082	P11	C53
Cell-138083	P11	C12
Cell-138085	P11	C3
Cell-138088	P11	C21
Cell-138090	P11	C40
Cell-138096	P11	C10
Cell-138101	P11	C30
Cell-138113	P11	C3
Cell-138114	P11	C8
Cell-138136	P11	C5
Cell-138137	P11	C54
Cell-138151	P11	C13
Cell-138153	P11	C9
Cell-138155	P11	C12
Cell-138159	P11	C9
Cell-138171	P11	C14
Cell-138172	P11	C3
Cell-138174	P11	C12
Cell-138178	P11	C11
Cell-138179	P11	C9
Cell-138184	P11	C16
Cell-138185	P11	C5
Cell-138210	P11	C8
Cell-138213	P11	C8
Cell-138217	P11	C53
Cell-138218	P11	C53
Cell-138236	P11	C16
Cell-138238	P11	C24
Cell-138253	P11	C9
Cell-138255	P11	C53
Cell-138256	P11	C32
Cell-138268	P11	C41
Cell-138272	P11	C8
Cell-138273	P11	C53
Cell-138288	P11	C22
Cell-138290	P11	C30
Cell-138294	P11	C29
Cell-138295	P11	C26
Cell-138297	P11	C13
Cell-138325	P11	C5
Cell-138327	P11	C41
Cell-138332	P11	C8
Cell-138333	P11	C41
Cell-138334	P11	C27
Cell-138347	P11	C9
Cell-138348	P11	C12
Cell-138350	P11	C9
Cell-138352	P11	C8
Cell-138369	P11	C23
Cell-138373	P11	C8
Cell-138374	P11	C23
Cell-138376	P11	C54
Cell-138387	P11	C1
Cell-138388	P11	C22
Cell-138393	P11	C3
Cell-138406	P11	C20
Cell-138409	P11	C20
Cell-138414	P11	C27
Cell-138430	P11	C53
Cell-138433	P11	C12
Cell-138436	P11	C21
Cell-138437	P11	C9
Cell-138439	P11	C8
Cell-138456	P11	C12
Cell-138457	P11	C18
Cell-138462	P11	C3
Cell-138465	P11	C8
Cell-138466	P11	C8
Cell-138467	P11	C3
Cell-138478	P11	C8
Cell-138480	P11	C8
Cell-138497	P11	C32
Cell-138499	P11	C31
Cell-138502	P11	C53
Cell-138504	P11	C11
Cell-138505	P11	C30
Cell-138514	P11	C35
Cell-138516	P11	C1
Cell-138518	P11	C1
Cell-138529	P11	C12
Cell-138532	P11	C4
Cell-138544	P11	C8
Cell-138545	P11	C20
Cell-138546	P11	C13
Cell-138547	P11	C31
Cell-138549	P11	C10
Cell-138550	P11	C42
Cell-138551	P11	C55
Cell-138581	P11	C33
Cell-138585	P11	C8
Cell-138615	P11	C8
Cell-138617	P11	C13
Cell-138622	P11	C1
Cell-138633	P11	C1
Cell-138634	P11	C13
Cell-138639	P11	C54
Cell-138640	P11	C9
Cell-138669	P11	C12
Cell-138670	P11	C13
Cell-138673	P11	C54
Cell-138675	P11	C3
Cell-138698	P11	C1
Cell-138700	P11	C30
Cell-138703	P11	C1
Cell-138705	P11	C5
Cell-138714	P11	C34
Cell-138720	P11	C18
Cell-138730	P11	C33
Cell-138731	P11	C26
Cell-138735	P11	C41
Cell-138754	P11	C12
Cell-138755	P11	C12
Cell-138756	P11	C18
Cell-138757	P11	C34
Cell-138758	P11	C3
Cell-138760	P11	C18
Cell-138763	P11	C13
Cell-138779	P11	C31
Cell-138791	P11	C8
Cell-138794	P11	C20
Cell-138795	P11	C12
Cell-138817	P11	C41
Cell-138818	P11	C3
Cell-138819	P11	C41
Cell-138839	P11	C23
Cell-138840	P11	C12
Cell-138842	P11	C13
Cell-138843	P11	C10
Cell-138845	P11	C53
Cell-138852	P11	C27
Cell-138879	P11	C21
Cell-138881	P11	C12
Cell-138896	P11	C1
Cell-138899	P11	C12
Cell-138904	P11	C13
Cell-138905	P11	C53
Cell-138915	P11	C47
Cell-138916	P11	C16
Cell-138917	P11	C27
Cell-138918	P11	C54
Cell-138919	P11	C31
Cell-138920	P11	C8
Cell-138922	P11	C8
Cell-138937	P11	C53
Cell-138939	P11	C20
Cell-138943	P11	C14
Cell-138952	P11	C21
Cell-138953	P11	C21
Cell-138955	P11	C30
Cell-138957	P11	C26
Cell-138959	P11	C40
Cell-138962	P11	C4
Cell-138968	P11	C47
Cell-138970	P11	C30
Cell-138971	P11	C16
Cell-138974	P11	C22
Cell-138987	P11	C50
Cell-138994	P11	C8
Cell-138995	P11	C55
Cell-139005	P11	C18
Cell-139006	P11	C22
Cell-139007	P11	C1
Cell-139009	P11	C3
Cell-139010	P11	C9
Cell-139011	P11	C8
Cell-139012	P11	C53
Cell-139013	P11	C1
Cell-139017	P11	C11
Cell-139036	P11	C35
Cell-139056	P11	C1
Cell-139062	P11	C42
Cell-139063	P11	C8
Cell-139066	P11	C14
Cell-139078	P11	C8
Cell-139079	P11	C12
Cell-139080	P11	C54
Cell-139084	P11	C40
Cell-139085	P11	C55
Cell-139098	P11	C16
Cell-139099	P11	C33
Cell-139100	P11	C53
Cell-139103	P11	C30
Cell-139107	P11	C35
Cell-139124	P11	C8
Cell-139125	P11	C12
Cell-139145	P11	C9
Cell-139146	P11	C40
Cell-139151	P11	C43
Cell-139153	P11	C1
Cell-139165	P11	C9
Cell-139167	P11	C9
Cell-139168	P11	C3
Cell-139170	P11	C40
Cell-139172	P11	C4
Cell-139186	P11	C3
Cell-139187	P11	C8
Cell-139190	P11	C1
Cell-139211	P11	C12
Cell-139213	P11	C1
Cell-139214	P11	C47
Cell-139215	P11	C8
Cell-139218	P11	C54
Cell-139220	P11	C23
Cell-139221	P11	C40
Cell-139222	P11	C55
Cell-139223	P11	C18
Cell-139233	P11	C11
Cell-139234	P11	C8
Cell-139251	P11	C35
Cell-139253	P11	C1
Cell-139255	P11	C55
Cell-139259	P11	C44
Cell-139272	P11	C43
Cell-139273	P11	C12
Cell-139275	P11	C11
Cell-139276	P11	C51
Cell-139288	P11	C4
Cell-139289	P11	C55
Cell-139290	P11	C27
Cell-139295	P11	C36
Cell-139297	P11	C4
Cell-139314	P11	C3
Cell-139319	P11	C4
Cell-139320	P11	C41
Cell-139331	P11	C59
Cell-139332	P11	C47
Cell-139333	P11	C20
Cell-139335	P11	C13
Cell-139349	P11	C3
Cell-139353	P11	C24
Cell-139355	P11	C8
Cell-139356	P11	C23
Cell-139371	P11	C35
Cell-139375	P11	C41
Cell-139380	P11	C8
Cell-139396	P11	C47
Cell-139400	P11	C14
Cell-139401	P11	C54
Cell-139410	P11	C4
Cell-139413	P11	C54
Cell-139416	P11	C53
Cell-139427	P11	C11
Cell-139428	P11	C21
Cell-139429	P11	C8
Cell-139431	P11	C24
Cell-139433	P11	C12
Cell-139456	P11	C3
Cell-139457	P11	C21
Cell-139467	P11	C41
Cell-139468	P11	C47
Cell-139474	P11	C19
Cell-139475	P11	C1
Cell-139489	P11	C3
Cell-139490	P11	C8
Cell-139491	P11	C11
Cell-139505	P11	C30
Cell-139523	P11	C16
Cell-139524	P11	C30
Cell-139529	P11	C1
Cell-139547	P11	C19
Cell-139548	P11	C30
Cell-139549	P11	C10
Cell-139550	P11	C41
Cell-139552	P11	C30
Cell-139567	P11	C3
Cell-139573	P11	C3
Cell-139596	P11	C35
Cell-139597	P11	C31
Cell-139599	P11	C23
Cell-139601	P11	C18
Cell-139602	P11	C38
Cell-139618	P11	C51
Cell-139631	P11	C31
Cell-139638	P11	C10
Cell-139639	P11	C10
Cell-139644	P11	C10
Cell-139670	P11	C34
Cell-139671	P11	C17
Cell-139672	P11	C31
Cell-139676	P11	C1
Cell-139692	P11	C22
Cell-139694	P11	C54
Cell-139707	P11	C31
Cell-139721	P11	C54
Cell-139725	P11	C41
Cell-139726	P11	C1
Cell-139739	P11	C26
Cell-139740	P11	C3
Cell-139742	P11	C8
Cell-139752	P11	C12
Cell-139754	P11	C31
Cell-139756	P11	C8
Cell-139764	P11	C12
Cell-139767	P11	C3
Cell-139768	P11	C20
Cell-139773	P11	C54
Cell-139774	P11	C8
Cell-139792	P11	C4
Cell-139803	P11	C54
Cell-139804	P11	C54
Cell-139807	P11	C53
Cell-139821	P11	C1
Cell-139822	P11	C53
Cell-139823	P11	C1
Cell-139824	P11	C22
Cell-139826	P11	C18
Cell-139838	P11	C37
Cell-139840	P11	C24
Cell-139856	P11	C27
Cell-139860	P11	C21
Cell-139864	P11	C3
Cell-139874	P11	C18
Cell-139876	P11	C8
Cell-139882	P11	C24
Cell-139887	P11	C53
Cell-139901	P11	C16
Cell-139902	P11	C3
Cell-139908	P11	C3
Cell-139909	P11	C12
Cell-139924	P11	C35
Cell-139927	P11	C53
Cell-139932	P11	C21
Cell-139933	P11	C55
Cell-139943	P11	C26
Cell-139944	P11	C30
Cell-139946	P11	C3
Cell-139947	P11	C53
Cell-139950	P11	C13
Cell-139952	P11	C35
Cell-139953	P11	C9
Cell-139957	P11	C12
Cell-139960	P11	C27
Cell-139974	P11	C3
Cell-139996	P11	C38
Cell-139997	P11	C21
Cell-140000	P11	C12
Cell-140001	P11	C54
Cell-140021	P11	C23
Cell-140022	P11	C9
Cell-140028	P11	C9
Cell-140030	P11	C12
Cell-140048	P11	C54
Cell-140054	P11	C53
Cell-140064	P11	C8
Cell-140065	P11	C17
Cell-140079	P11	C12
Cell-140082	P11	C9
Cell-140083	P11	C17
Cell-140084	P11	C14
Cell-140094	P11	C10
Cell-140095	P11	C8
Cell-140109	P11	C29
Cell-140113	P11	C32
Cell-140125	P11	C54
Cell-140128	P11	C3
Cell-140133	P11	C14
Cell-140134	P11	C10
Cell-140135	P11	C1
Cell-140138	P11	C21
Cell-140154	P11	C56
Cell-140158	P11	C41
Cell-140163	P11	C11
Cell-140175	P11	C55
Cell-140177	P11	C11
Cell-140181	P11	C3
Cell-140182	P11	C14
Cell-140183	P11	C17
Cell-140185	P11	C11
Cell-140186	P11	C9
Cell-140196	P11	C3
Cell-140197	P11	C10
Cell-140198	P11	C40
Cell-140199	P11	C3
Cell-140203	P11	C24
Cell-140204	P11	C41
Cell-140205	P11	C24
Cell-140221	P11	C26
Cell-140222	P11	C9
Cell-140223	P11	C1
Cell-140224	P11	C17
Cell-140226	P11	C12
Cell-140228	P11	C31
Cell-140250	P11	C20
Cell-140251	P11	C54
Cell-140254	P11	C3
Cell-140255	P11	C43
Cell-140256	P11	C13
Cell-140257	P11	C3
Cell-140272	P11	C8
Cell-140273	P11	C9
Cell-140275	P11	C3
Cell-140276	P11	C11
Cell-140284	P11	C12
Cell-140285	P11	C10
Cell-140300	P11	C8
Cell-140301	P11	C53
Cell-140303	P11	C16
Cell-140304	P11	C12
Cell-140320	P11	C12
Cell-140326	P11	C1
Cell-140342	P11	C19
Cell-140344	P11	C8
Cell-140347	P11	C47
Cell-140348	P11	C34
Cell-140351	P11	C26
Cell-140366	P11	C25
Cell-140367	P11	C16
Cell-140369	P11	C18
Cell-140371	P11	C53
Cell-140380	P11	C3
Cell-140384	P11	C54
Cell-140387	P11	C53
Cell-140388	P11	C35
Cell-140389	P11	C13
Cell-140398	P11	C9
Cell-140399	P11	C12
Cell-140400	P11	C36
Cell-140414	P11	C16
Cell-140415	P11	C22
Cell-140423	P11	C54
Cell-140442	P11	C4
Cell-140452	P11	C35
Cell-140453	P11	C41
Cell-140454	P11	C16
Cell-140464	P11	C22
Cell-140469	P11	C3
Cell-140481	P11	C8
Cell-140482	P11	C10
Cell-140483	P11	C3
Cell-140484	P11	C9
Cell-140486	P11	C8
Cell-140501	P11	C3
Cell-140516	P11	C12
Cell-140517	P11	C16
Cell-140518	P11	C4
Cell-140519	P11	C26
Cell-140533	P11	C10
Cell-140534	P11	C20
Cell-140536	P11	C3
Cell-140539	P11	C11
Cell-140540	P11	C41
Cell-140541	P11	C3
Cell-140548	P11	C23
Cell-140551	P11	C27
Cell-140558	P11	C25
Cell-140569	P11	C12
Cell-140574	P11	C11
Cell-140578	P11	C9
Cell-140579	P11	C8
Cell-140606	P11	C24
Cell-140638	P11	C35
Cell-140640	P11	C21
Cell-140658	P11	C21
Cell-140659	P11	C21
Cell-140661	P11	C16
Cell-140664	P11	C35
Cell-140678	P11	C10
Cell-140679	P11	C40
Cell-140684	P11	C30
Cell-140685	P11	C20
Cell-140698	P11	C10
Cell-140703	P11	C25
Cell-140716	P11	C9
Cell-140719	P11	C12
Cell-140720	P11	C16
Cell-140728	P11	C12
Cell-140729	P11	C33
Cell-140732	P11	C55
Cell-140747	P11	C12
Cell-140784	P11	C31
Cell-140785	P11	C21
Cell-140788	P11	C53
Cell-140789	P11	C8
Cell-140790	P11	C13
Cell-140804	P11	C36
Cell-140807	P11	C31
Cell-140809	P11	C8
Cell-140810	P11	C31
Cell-140818	P11	C18
Cell-140820	P11	C4
Cell-140821	P11	C4
Cell-140832	P11	C12
Cell-140833	P11	C1
Cell-140836	P11	C18
Cell-140845	P11	C41
Cell-140846	P11	C9
Cell-140848	P11	C1
Cell-140859	P11	C29
Cell-140860	P11	C24
Cell-140862	P11	C5
Cell-140865	P11	C12
Cell-140867	P11	C3
Cell-140882	P11	C8
Cell-140888	P11	C4
Cell-140899	P11	C20
Cell-140901	P11	C13
Cell-140903	P11	C10
Cell-140904	P11	C21
Cell-140905	P11	C9
Cell-140906	P11	C54
Cell-140907	P11	C47
Cell-140908	P11	C27
Cell-140923	P11	C53
Cell-140926	P11	C1
Cell-140940	P11	C21
Cell-140943	P11	C31
Cell-140946	P11	C53
Cell-140957	P11	C9
Cell-140958	P11	C4
Cell-140960	P11	C54
Cell-140977	P11	C10
Cell-140979	P11	C11
Cell-140985	P11	C16
Cell-141006	P11	C24
Cell-141011	P11	C13
Cell-141030	P11	C12
Cell-141033	P11	C42
Cell-141034	P11	C16
Cell-141049	P11	C3
Cell-141053	P11	C55
Cell-141054	P11	C20
Cell-141055	P11	C28
Cell-141075	P11	C35
Cell-141097	P11	C18
Cell-141098	P11	C10
Cell-141099	P11	C41
Cell-141100	P11	C24
Cell-141101	P11	C16
Cell-141102	P11	C31
Cell-141103	P11	C12
Cell-141105	P11	C12
