Barcode	Set	CellType
Cell-3072	P11	C12
Cell-3073	P11	C16
Cell-3077	P11	C1
Cell-3078	P11	C12
Cell-3088	P11	C1
Cell-3092	P11	C24
Cell-3093	P11	C16
Cell-3096	P11	C18
Cell-3098	P11	C14
Cell-3108	P11	C4
Cell-3109	P11	C41
Cell-3110	P11	C40
Cell-3111	P11	C53
Cell-3112	P11	C16
Cell-3114	P11	C8
Cell-3126	P11	C28
Cell-3133	P11	C41
Cell-3145	P11	C17
Cell-3146	P11	C53
Cell-3147	P11	C1
Cell-3148	P11	C9
Cell-3150	P11	C4
Cell-3165	P11	C4
Cell-3168	P11	C54
Cell-3171	P11	C32
Cell-3183	P11	C1
Cell-3184	P11	C42
Cell-3210	P11	C53
Cell-3211	P11	C8
Cell-3215	P11	C36
Cell-3217	P11	C24
Cell-3236	P11	C53
Cell-3238	P11	C29
Cell-3239	P11	C54
Cell-3241	P11	C40
Cell-3255	P11	C12
Cell-3271	P11	C41
Cell-3272	P11	C45
Cell-3288	P11	C16
Cell-3289	P11	C33
Cell-3291	P11	C3
Cell-3292	P11	C1
Cell-3294	P11	C8
Cell-3296	P11	C9
Cell-3301	P11	C18
Cell-3302	P11	C54
Cell-3315	P11	C53
Cell-3327	P11	C53
Cell-3328	P11	C14
Cell-3330	P11	C40
Cell-3348	P11	C34
Cell-3350	P11	C53
Cell-3363	P11	C18
Cell-3366	P11	C32
Cell-3367	P11	C1
Cell-3381	P11	C37
Cell-3395	P11	C54
Cell-3415	P11	C18
Cell-3418	P11	C1
Cell-3421	P11	C54
Cell-3422	P11	C32
Cell-3443	P11	C20
Cell-3445	P11	C53
Cell-3448	P11	C41
Cell-3454	P11	C8
Cell-3457	P11	C12
Cell-3467	P11	C8
Cell-3493	P11	C3
Cell-3494	P11	C21
Cell-3502	P11	C16
Cell-3514	P11	C25
Cell-3518	P11	C9
Cell-3530	P11	C31
Cell-3540	P11	C13
Cell-3544	P11	C53
Cell-3546	P11	C23
Cell-3547	P11	C54
Cell-3579	P11	C8
Cell-3581	P11	C8
Cell-3582	P11	C35
Cell-3593	P11	C1
Cell-3594	P11	C12
Cell-3599	P11	C12
Cell-3600	P11	C53
Cell-3608	P11	C8
Cell-3612	P11	C22
Cell-3616	P11	C16
Cell-3631	P11	C16
Cell-3633	P11	C41
Cell-3634	P11	C36
Cell-3644	P11	C18
Cell-3645	P11	C30
Cell-3648	P11	C9
Cell-3669	P11	C27
Cell-3670	P11	C5
Cell-3683	P11	C54
Cell-3685	P11	C53
Cell-3686	P11	C4
Cell-3693	P11	C18
Cell-3708	P11	C53
Cell-3709	P11	C53
Cell-3721	P11	C54
Cell-3736	P11	C39
Cell-3743	P11	C12
Cell-3745	P11	C40
Cell-3758	P11	C41
Cell-3759	P11	C30
Cell-3760	P11	C29
Cell-3761	P11	C3
Cell-3778	P11	C20
Cell-3779	P11	C55
Cell-3782	P11	C14
Cell-3786	P11	C37
Cell-3787	P11	C16
Cell-3797	P11	C14
Cell-3800	P11	C31
Cell-3819	P11	C25
Cell-3835	P11	C36
Cell-3836	P11	C13
Cell-3847	P11	C54
Cell-3848	P11	C12
Cell-3849	P11	C20
Cell-3851	P11	C41
Cell-3852	P11	C4
Cell-3858	P11	C12
Cell-3861	P11	C55
Cell-3881	P11	C31
Cell-3883	P11	C23
Cell-3884	P11	C55
Cell-3900	P11	C41
Cell-3901	P11	C18
Cell-3902	P11	C21
Cell-3908	P11	C9
Cell-3914	P11	C54
Cell-3915	P11	C41
Cell-3916	P11	C4
Cell-3917	P11	C4
Cell-3918	P11	C14
Cell-3936	P11	C31
Cell-3937	P11	C12
Cell-3939	P11	C22
Cell-3942	P11	C4
Cell-3944	P11	C8
Cell-3945	P11	C16
Cell-3949	P11	C21
Cell-3950	P11	C4
Cell-3962	P11	C12
Cell-3963	P11	C1
Cell-3965	P11	C54
Cell-3970	P11	C4
Cell-3979	P11	C31
Cell-3997	P11	C30
Cell-4000	P11	C35
Cell-4001	P11	C4
Cell-4010	P11	C46
Cell-4011	P11	C18
Cell-4013	P11	C11
Cell-4021	P11	C18
Cell-4023	P11	C5
Cell-4038	P11	C56
Cell-4045	P11	C18
Cell-4050	P11	C10
Cell-4053	P11	C54
Cell-4054	P11	C31
Cell-4067	P11	C55
Cell-4069	P11	C18
Cell-4070	P11	C23
Cell-4071	P11	C12
Cell-4075	P11	C35
Cell-4076	P11	C24
Cell-4077	P11	C9
Cell-4079	P11	C12
Cell-4080	P11	C45
Cell-4082	P11	C53
Cell-4094	P11	C1
Cell-4099	P11	C1
Cell-4118	P11	C3
Cell-4120	P11	C30
Cell-4121	P11	C21
Cell-4122	P11	C54
Cell-4124	P11	C53
Cell-4143	P11	C33
Cell-4146	P11	C9
Cell-4148	P11	C21
Cell-4149	P11	C22
Cell-4152	P11	C8
Cell-4157	P11	C41
Cell-4159	P11	C5
Cell-4160	P11	C3
Cell-4161	P11	C55
Cell-4168	P11	C17
Cell-4174	P11	C54
Cell-4175	P11	C8
Cell-4181	P11	C30
Cell-4191	P11	C3
Cell-4197	P11	C4
Cell-4198	P11	C21
Cell-4200	P11	C24
Cell-4230	P11	C12
Cell-4237	P11	C21
Cell-4238	P11	C10
Cell-4241	P11	C1
Cell-4262	P11	C42
Cell-4265	P11	C8
Cell-4269	P11	C13
Cell-4282	P11	C30
Cell-4283	P11	C29
Cell-4291	P11	C31
Cell-4293	P11	C55
Cell-4294	P11	C53
Cell-4305	P11	C27
Cell-4313	P11	C4
Cell-4316	P11	C53
Cell-4328	P11	C18
Cell-4329	P11	C18
Cell-4330	P11	C10
Cell-4331	P11	C41
Cell-4332	P11	C38
Cell-4342	P11	C16
Cell-4345	P11	C24
Cell-4349	P11	C3
Cell-4366	P11	C55
Cell-4367	P11	C53
Cell-4371	P11	C9
Cell-4375	P11	C22
Cell-4384	P11	C4
Cell-4385	P11	C17
Cell-4386	P11	C18
Cell-4388	P11	C23
Cell-4396	P11	C3
Cell-4399	P11	C18
Cell-4430	P11	C18
Cell-4435	P11	C41
Cell-4466	P11	C8
Cell-4481	P11	C17
Cell-4489	P11	C3
Cell-4491	P11	C4
Cell-4493	P11	C42
Cell-4494	P11	C3
Cell-4498	P11	C23
Cell-4502	P11	C54
Cell-4503	P11	C53
Cell-4504	P11	C4
Cell-4505	P11	C54
Cell-4522	P11	C53
Cell-4523	P11	C29
Cell-4531	P11	C4
Cell-4533	P11	C4
Cell-4543	P11	C23
Cell-4549	P11	C9
Cell-4561	P11	C29
Cell-4562	P11	C4
Cell-4563	P11	C41
Cell-4585	P11	C8
Cell-4587	P11	C3
Cell-4594	P11	C41
Cell-4605	P11	C53
Cell-4606	P11	C41
Cell-4609	P11	C30
Cell-4623	P11	C1
Cell-4632	P11	C38
Cell-4634	P11	C45
Cell-4636	P11	C54
Cell-4652	P11	C53
Cell-4653	P11	C4
Cell-4654	P11	C10
Cell-4665	P11	C27
Cell-4674	P11	C54
Cell-4675	P11	C30
Cell-4676	P11	C3
Cell-4692	P11	C10
Cell-4693	P11	C53
Cell-4695	P11	C9
Cell-4700	P11	C8
Cell-4716	P11	C12
Cell-4718	P11	C41
Cell-4738	P11	C31
Cell-4755	P11	C10
Cell-4762	P11	C4
Cell-4763	P11	C54
Cell-4764	P11	C41
Cell-4776	P11	C25
Cell-4781	P11	C1
Cell-4782	P11	C37
Cell-4794	P11	C3
Cell-4807	P11	C13
Cell-4808	P11	C1
Cell-4813	P11	C41
Cell-4814	P11	C1
Cell-4828	P11	C13
Cell-4830	P11	C33
Cell-4833	P11	C27
Cell-4834	P11	C54
Cell-4847	P11	C3
Cell-4851	P11	C30
Cell-4852	P11	C38
Cell-4870	P11	C53
Cell-4872	P11	C55
Cell-4873	P11	C28
Cell-4882	P11	C13
Cell-4883	P11	C1
Cell-4887	P11	C5
Cell-4909	P11	C9
Cell-4912	P11	C1
Cell-4926	P11	C4
Cell-4928	P11	C18
Cell-4931	P11	C41
Cell-4932	P11	C13
Cell-4940	P11	C10
Cell-4943	P11	C55
Cell-4960	P11	C22
Cell-4973	P11	C1
Cell-4976	P11	C22
Cell-4996	P11	C20
Cell-5008	P11	C14
Cell-5023	P11	C47
Cell-5024	P11	C23
Cell-5029	P11	C54
Cell-5054	P11	C40
Cell-5056	P11	C4
Cell-5057	P11	C40
Cell-5067	P11	C19
Cell-5070	P11	C1
Cell-5095	P11	C13
Cell-5105	P11	C18
Cell-5107	P11	C18
Cell-5110	P11	C3
Cell-5112	P11	C53
Cell-5115	P11	C31
Cell-5128	P11	C3
Cell-5130	P11	C4
Cell-5131	P11	C26
Cell-5141	P11	C16
Cell-5142	P11	C16
Cell-5145	P11	C28
Cell-5146	P11	C9
Cell-5166	P11	C44
Cell-5168	P11	C45
Cell-5170	P11	C43
Cell-5173	P11	C23
Cell-5183	P11	C41
Cell-5185	P11	C8
Cell-5186	P11	C54
Cell-5192	P11	C54
Cell-5210	P11	C12
Cell-5216	P11	C41
Cell-5217	P11	C38
Cell-5218	P11	C10
Cell-5221	P11	C54
Cell-5238	P11	C53
Cell-5246	P11	C9
Cell-5256	P11	C12
Cell-5257	P11	C27
Cell-5260	P11	C17
Cell-5261	P11	C18
Cell-5273	P11	C5
Cell-5283	P11	C1
Cell-5289	P11	C19
Cell-5291	P11	C11
Cell-5327	P11	C1
Cell-5344	P11	C16
Cell-5361	P11	C3
Cell-5363	P11	C1
Cell-5373	P11	C27
Cell-5375	P11	C47
Cell-5398	P11	C32
Cell-5401	P11	C16
Cell-5403	P11	C1
Cell-5417	P11	C8
Cell-5431	P11	C8
Cell-5433	P11	C35
Cell-5436	P11	C54
Cell-5446	P11	C12
Cell-5448	P11	C23
Cell-5449	P11	C23
Cell-5457	P11	C21
Cell-5458	P11	C12
Cell-5470	P11	C34
Cell-5475	P11	C41
Cell-5477	P11	C53
Cell-5479	P11	C55
Cell-5498	P11	C9
Cell-5510	P11	C53
Cell-5512	P11	C1
Cell-5513	P11	C53
Cell-5530	P11	C5
Cell-5532	P11	C30
Cell-5533	P11	C41
Cell-5534	P11	C12
Cell-5537	P11	C1
Cell-5553	P11	C40
Cell-5556	P11	C14
Cell-5574	P11	C54
Cell-5578	P11	C9
Cell-5579	P11	C17
Cell-5594	P11	C31
Cell-5595	P11	C5
Cell-5598	P11	C4
Cell-5600	P11	C18
Cell-5601	P11	C8
Cell-5602	P11	C27
Cell-5603	P11	C21
Cell-5623	P11	C12
Cell-5625	P11	C11
Cell-5630	P11	C54
Cell-5632	P11	C54
Cell-5641	P11	C3
Cell-5653	P11	C1
Cell-5657	P11	C54
Cell-5659	P11	C54
Cell-5674	P11	C18
Cell-5675	P11	C47
Cell-5695	P11	C12
Cell-5699	P11	C18
Cell-5706	P11	C4
Cell-5710	P11	C54
Cell-5711	P11	C4
Cell-5713	P11	C12
Cell-5729	P11	C12
Cell-5737	P11	C3
Cell-5742	P11	C13
Cell-5744	P11	C1
Cell-5757	P11	C53
Cell-5762	P11	C9
Cell-5763	P11	C12
Cell-5777	P11	C13
Cell-5791	P11	C42
Cell-5797	P11	C17
Cell-5810	P11	C30
Cell-5811	P11	C4
Cell-5812	P11	C12
Cell-5813	P11	C18
Cell-5816	P11	C12
Cell-5817	P11	C41
Cell-5829	P11	C14
Cell-5852	P11	C36
Cell-5853	P11	C8
Cell-5860	P11	C53
Cell-5878	P11	C18
Cell-5879	P11	C4
Cell-5890	P11	C12
Cell-5891	P11	C33
Cell-5892	P11	C32
Cell-5896	P11	C8
Cell-5901	P11	C8
Cell-5916	P11	C41
Cell-5919	P11	C36
Cell-5942	P11	C11
Cell-5962	P11	C16
Cell-5972	P11	C21
Cell-5987	P11	C9
Cell-5989	P11	C54
Cell-5990	P11	C55
Cell-5992	P11	C17
Cell-6004	P11	C54
Cell-6005	P11	C13
Cell-6008	P11	C1
Cell-6009	P11	C41
Cell-6025	P11	C16
Cell-6026	P11	C9
Cell-6028	P11	C54
Cell-6029	P11	C54
Cell-6032	P11	C4
Cell-6038	P11	C1
Cell-6039	P11	C10
Cell-6053	P11	C33
Cell-6054	P11	C8
Cell-6066	P11	C9
Cell-6067	P11	C25
Cell-6081	P11	C3
Cell-6082	P11	C33
Cell-6084	P11	C13
Cell-6086	P11	C53
Cell-6087	P11	C24
Cell-6101	P11	C41
Cell-6115	P11	C11
Cell-6116	P11	C54
Cell-6119	P11	C53
Cell-6122	P11	C53
Cell-6123	P11	C30
Cell-6137	P11	C9
